Year,Quarter,Manual_employee_grades,Skilled_operatives,Apprentices,Semi_skilled_adults,Clerical_employees_female,Clerical_employees_male,Foremen_and_supervisors,Clerical_and_Operatives,Number_of_employees,gender,male,female,Construction,Clerical_support_workers,Skill_levels_high,Skill_level_medium,Skill_level_low
2000,Q1,520,624,300,468,323,469,694,508,417.0,Male,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2000,Q1,520,624,300,468,323,469,694,508,18.0,Female,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2000,Q2,533,619,306,504,344,478,696,521,422.0,Male,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2000,Q2,533,619,306,504,344,478,696,521,21.0,Female,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2000,Q3,554,642,318,534,338,494,718,540,434.0,Male,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2000,Q3,554,642,318,534,338,494,718,540,20.0,Female,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2000,Q4,607,704,328,578,353,476,772,588,430.0,Male,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2000,Q4,607,704,328,578,353,476,772,588,20.0,Female,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2001,Q1,579,664,327,556,352,476,721,562,417.0,Male,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2001,Q1,579,664,327,556,352,476,721,562,21.0,Female,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2001,Q2,587,670,358,555,355,495,753,570,403.0,Male,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2001,Q2,587,670,358,555,355,495,753,570,16.0,Female,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2001,Q3,612,684,386,592,371,495,767,595,406.0,Male,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2001,Q3,612,684,386,592,371,495,767,595,19.0,Female,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2001,Q4,638,705,392,618,393,519,780,618,416.0,Male,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2001,Q4,638,705,392,618,393,519,780,618,19.0,Female,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2002,Q1,644,725,374,624,388,523,788,624,432.0,Male,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2002,Q1,644,725,374,624,388,523,788,624,19.0,Female,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2002,Q2,657,749,372,629,400,528,828,637,431.0,Male,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2002,Q2,657,749,372,629,400,528,828,637,20.0,Female,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2002,Q3,685,794,422,643,405,547,861,664,455.0,Male,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2002,Q3,685,794,422,643,405,547,861,664,19.0,Female,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2002,Q4,674,767,417,632,413,526,845,652,442.0,Male,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2002,Q4,674,767,417,632,413,526,845,652,21.0,Female,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2003,Q1,678,768,410,632,421,572,846,657,411.0,Male,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2003,Q1,678,768,410,632,421,572,846,657,19.0,Female,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2003,Q2,687,785,424,645,412,558,853,664,427.0,Male,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2003,Q2,687,785,424,645,412,558,853,664,18.0,Female,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2003,Q3,693,779,428,659,423,572,867,672,413.0,Male,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2003,Q3,693,779,428,659,423,572,867,672,19.0,Female,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2003,Q4,715,814,435,659,442,572,920,691,394.0,Male,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2003,Q4,715,814,435,659,442,572,920,691,21.0,Female,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2004,Q1,699,782,403,653,440,597,872,678,383.0,Male,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2004,Q1,699,782,403,653,440,597,872,678,20.0,Female,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2004,Q2,720,824,415,667,449,597,892,698,383.0,Male,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2004,Q2,720,824,415,667,449,597,892,698,19.0,Female,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2004,Q3,734,840,433,681,454,626,905,712,371.0,Male,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2004,Q3,734,840,433,681,454,626,905,712,19.0,Female,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2004,Q4,749,835,450,703,469,642,955,726,364.0,Male,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2004,Q4,749,835,450,703,469,642,955,726,19.0,Female,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2005,Q1,757,853,444,705,467,671,977,737,368.0,Male,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2005,Q1,757,853,444,705,467,671,977,737,19.0,Female,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2005,Q2,780,871,460,738,489,669,1007,758,382.0,Male,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2005,Q2,780,871,460,738,489,669,1007,758,19.0,Female,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2005,Q3,769,885,450,712,475,648,975,745,401.0,Male,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2005,Q3,769,885,450,712,475,648,975,745,20.0,Female,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2005,Q4,799,896,456,746,511,659,1015,776,395.0,Male,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2005,Q4,799,896,456,746,511,659,1015,776,20.0,Female,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2006,Q1,766,855,431,722,494,638,958,743,390.0,Male,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2006,Q1,766,855,431,722,494,638,958,743,20.0,Female,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2006,Q2,785,882,427,739,490,655,992,761,392.0,Male,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2006,Q2,785,882,427,739,490,655,992,761,19.0,Female,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2006,Q3,793,884,437,753,501,665,1000,768,398.0,Male,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2006,Q3,793,884,437,753,501,665,1000,768,19.0,Female,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2006,Q4,819,885,472,791,499,695,1021,793,402.0,Male,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2006,Q4,819,885,472,791,499,695,1021,793,19.0,Female,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2007,Q1,811,882,445,781,513,695,1038,784,396.0,Male,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2007,Q1,811,882,445,781,513,695,1038,784,20.0,Female,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2007,Q2,827,909,463,790,526,704,1049,800,395.0,Male,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2007,Q2,827,909,463,790,526,704,1049,800,23.0,Female,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2007,Q3,848,922,487,823,528,712,1070,818,413.0,Male,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2007,Q3,848,922,487,823,528,712,1070,818,18.0,Female,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2007,Q4,878,946,529,838,545,724,1094,842,422.0,Male,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2007,Q4,878,946,529,838,545,724,1094,842,17.0,Female,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2008,Q1,861,920,495,829,540,724,1079,829,405.0,Male,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2008,Q1,861,920,495,829,540,724,1079,829,17.0,Female,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2008,Q2,842,912,490,803,544,719,1086,813,398.0,Male,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2008,Q2,842,912,490,803,544,719,1086,813,15.0,Female,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2008,Q3,848,919,531,799,543,762,1102,820,401.0,Male,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2008,Q3,848,919,531,799,543,762,1102,820,16.0,Female,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2008,Q4,855,913,535,796,540,760,1083,822,375.0,Male,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2008,Q4,855,913,535,796,540,760,1083,822,19.0,Female,0.0,1.0,1.0,0.0,0.0,0.0,0.0
